,^GSPC,^DJI,^IXIC,^RUT,^FTSE,^GDAXI,^FCHI,^BFX,^N225,^HSI,000001.SS,^BSESN
2010-01-05,0.003115649740951021,-0.0011281221773323802,0.00012562705226959459,-0.0025152319950008106,0.004036143483082677,-0.002718119140915687,-0.00026407770860270574,0.00928247990421105,0.0025378257103141344,0.020908864295376528,0.011844279478136377,0.007261914728457164
2010-01-06,0.0005455249357688707,0.00015701824249281238,-0.00330054445989314,-0.000845745430625322,0.0013580805794477513,0.00040949226275155404,0.0011861716310608283,0.003346510702264771,0.004645271456295452,0.006153168057925429,-0.008518728406120335,0.0008418974298662896
2010-01-07,0.004001266334840103,0.003137980343645763,-0.00045195972343536894,0.0063014342816833935,-0.000596745027124812,-0.0024808056569660675,0.0017746604375172836,-0.0022145792491998773,-0.004639633973041901,-0.00656743396766768,-0.018880100300532776,-0.004825115684704895
2010-01-08,0.002881692928903501,0.0010681766328584086,0.0074433164496423565,0.004034456438774203,0.0013570485099607676,0.0030318837883096528,0.005053667262969519,0.00037055908101346624,0.010921523433623515,0.0012258946673582294,0.00100852548562691,-0.004281970876013008
2010-01-12,-0.007650788660063967,0.0008541945472815282,-0.01504421341550255,-0.014056100285466,-0.006414657945141178,-0.015670107873810957,-0.011146709384594722,-0.01025991264218784,0.007484497588513772,0.001340554116631365,0.02439612015018766,-0.006714826265700413
2010-01-13,0.008325852387741861,0.005035164285055682,0.011212324355587278,0.012682926829268304,-0.00458290141306128,0.003388860844691255,0.0002024974687815373,0.003921950839164801,-0.013246451465832698,-0.025890147375511985,-0.03094408317730457,0.005010185099621145
2010-01-14,0.002426506528873551,0.0027881884920279987,0.0038303219376920605,0.004459568649387791,0.004512651868091577,0.004316517807732234,0.0037266987597666112,-0.0014523651416833427,0.01608286143587856,-0.0014552660860928102,0.013518624750209707,0.004287313390215708
2010-01-15,-0.010823189314386306,-0.009420617988805446,-0.012409679118071115,-0.013102733474621986,-0.007784365792441239,-0.01885327473584375,-0.015287230095349047,-0.013580309329268125,0.006822715737902163,-0.002891289983169898,0.002674503584145782,-0.0017384262721305
2010-01-19,0.012499669903083488,0.010912706828217766,0.014165271701362503,0.01754028465734514,0.010576676320709799,0.017105260918622633,0.013981964302874239,0.004301287232155282,-0.0197776381566368,0.0011000195805332957,0.007046818541320832,-0.003887366628119504
2010-01-20,-0.010597880423915296,-0.011400941500713802,-0.012562489225995566,-0.0146961411076022,-0.01674194192015388,-0.020906955264637372,-0.020131332503672383,-0.012043841467244687,-0.002543451402242436,-0.018074101000185472,-0.029265107626729736,-0.0006616699244998969
2010-01-21,-0.01894485255351297,-0.020113834096471384,-0.01115111838516103,-0.01758884320132581,-0.015809474616292785,-0.01786883088696456,-0.01699945278000481,-0.01288205095602124,0.012189965653149004,-0.019895547202714248,0.0022240906134494143,-0.024226744242607512
2010-01-22,-0.022141014617368948,-0.020876083265639278,-0.02666284150593634,-0.017887834999045116,-0.0060167569492606265,-0.008987344635521088,-0.010714211736437607,-0.0034014153107968514,-0.025565837137170977,-0.006542307384433399,-0.009582570927486489,-0.011228574746321884
2010-01-25,0.0045980801641385405,0.0023473947653491756,0.0024985376072990118,0.0016042260824475907,-0.008052046011691516,-0.011228517449414555,-0.010189018996121235,-0.0002706185046510434,-0.007351837251134197,-0.006157912360116535,-0.010925049303360357,-0.004698784318563631
2010-01-27,0.0006564671128213018,0.003854127643215577,0.004799167722091324,0.0004368154535601132,-0.00813641807501475,0.002100732148660134,-0.005830479791636312,0.007486445211180026,-0.024790039466587532,-0.027452417767270032,-0.034837012548434076,-0.029238769378193363
2010-01-28,-0.011817767653758526,-0.011303066775040671,-0.019091477935185286,-0.016898994145994495,-0.013761379971250598,-0.018229018996314128,-0.018886642906537632,-0.002871270055781139,0.01582215511388907,0.01613831529565868,0.0025212531934197813,0.0010466659545655954
2010-01-29,-0.009829142577890915,-0.005249761374482853,-0.014525011473152882,-0.009688615465596295,0.008317624424276637,0.012356664675208906,0.013736211603262882,0.0075165593542754205,-0.020764737682549606,-0.011513840630721361,-0.001619830736037664,0.003133035340319612
2010-02-01,0.014266158846042876,0.01174094819579774,0.011106712925233353,0.011975948441964146,0.011352028524621582,0.008146142037765758,0.006030282447198276,0.012977007823726794,0.0006844452463414807,0.006051091368199479,-0.016033907717217022,-0.00011798537225904404
2010-02-02,0.012972943196320141,0.010929229995886303,0.00868644067796609,0.007878539187525568,0.0068414834013035275,0.00975863386199971,0.013322665277338386,0.0037041269490998285,0.016273363501492444,0.0014043840691571052,-0.0022608589224032416,-0.011774862237352246
2010-02-03,-0.005474386397418707,-0.002554179190723538,0.00038811722053266884,-0.005520723068153988,-0.005697196827740281,-0.006580076571985005,-0.004894901275664831,-0.006850901610060189,0.003205063305785627,0.02219297579244084,0.023552582708342484,0.020577921531555132
2010-02-04,-0.031140638670166254,-0.02613005145780889,-0.02988712452816411,-0.03435627026495924,-0.02168202238635486,-0.024479512842708884,-0.027473526876448107,-0.029553378714926026,-0.004647103657804075,-0.018359160856439183,-0.00283637888961763,-0.016434237287108022
2010-02-05,0.002897160218604089,0.001004780957751139,0.00738203563514217,0.00559625559625565,-0.015254995816550987,-0.017873795461610165,-0.034015043708070736,-0.025410403682431082,-0.028861585286954927,-0.03325985515425489,-0.01866584760842782,-0.026750159476608637
2010-02-08,-0.0088633358031871,-0.010371315880677967,-0.007038372440591689,-0.01094471988937229,0.006204430042087594,0.009294596951975764,0.012209015197431894,0.004025044722719251,-0.0104672425124962,-0.005806739662386429,-0.0014390691977954617,0.009162221604427367
2010-02-09,0.013040104472244796,0.015163916640342112,0.011674231556172199,0.014799911336936589,0.003829310920409279,0.0024449164516804345,0.0015219265538759519,0.004591719917573789,-0.0019011597878578756,0.012244455367504958,0.004657311160852773,0.006687538161388229
2010-02-10,-0.0022325598774426414,-0.002014188796895078,-0.0013947844360654438,0.0010921249390931642,0.003951641300520281,0.006931283715211567,0.006324804304742138,0.011441334670434955,0.0031300023155371726,0.006666909209976035,0.011414657967200537,-0.007480903468231936
2010-02-22,0.03733627929184635,0.03436809525042883,0.04383877981442086,0.06114262696787609,0.042887763055339034,0.027467456112940436,0.033306652803793524,0.03290328131465636,0.043805744485893694,0.02284132993210597,0.00700754400670589,0.019776198847267557
